TimeStamp,Current Aviable Water (cm),Deficit (cm),Change in Storage (cm)
9/7/2017 7:00:00 AM,15.9108,3.4392,-0.0010879
9/7/2017 6:00:00 AM,15.9217,3.4283,-0.0011103
9/7/2017 5:00:00 AM,15.9328,3.4172,-0.001126
9/7/2017 4:00:00 AM,15.9441,3.4059,-0.0010435
9/7/2017 3:00:00 AM,15.9545,3.3955,-0.0010791
9/7/2017 2:00:00 AM,15.9653,3.3847,-0.0010003
9/7/2017 1:00:00 AM,15.9753,3.3747,-0.001037
9/7/2017,15.9857,3.3643,-0.00103
9/6/2017 11:00:00 PM,15.996,3.354,-0.00095363
9/6/2017 10:00:00 PM,16.0055,3.3445,-0.000868
9/6/2017 9:00:00 PM,16.0142,3.3358,-0.0010085
9/6/2017 8:00:00 PM,16.0243,3.3257,-0.0011111
9/6/2017 7:00:00 PM,16.0354,3.3146,-0.00021089
9/6/2017 6:00:00 PM,16.0375,3.3125,-0.00046087
9/6/2017 5:00:00 PM,16.0421,3.3079,-0.0012786
9/6/2017 4:00:00 PM,16.0549,3.2951,-0.0013197
9/6/2017 3:00:00 PM,16.0681,3.2819,-0.0015608
9/6/2017 2:00:00 PM,16.0837,3.2663,-0.0015825
9/6/2017 1:00:00 PM,16.0995,3.2505,-0.0012735
9/6/2017 12:00:00 PM,16.1123,3.2377,-0.0008959
9/6/2017 11:00:00 AM,16.1212,3.2288,-0.00048932
9/6/2017 10:00:00 AM,16.1261,3.2239,-0.00028469
9/6/2017 9:00:00 AM,16.129,3.221,-0.00043563
9/6/2017 8:00:00 AM,16.1333,3.2167,-0.0010323
9/6/2017 7:00:00 AM,16.1436,3.2064,-0.001103
9/6/2017 6:00:00 AM,16.1547,3.1953,-0.0010645
9/6/2017 5:00:00 AM,16.1653,3.1847,-0.00095916
9/6/2017 4:00:00 AM,16.1749,3.1751,-0.0010913
9/6/2017 3:00:00 AM,16.1858,3.1642,-0.00092401
9/6/2017 2:00:00 AM,16.1951,3.1549,-0.00098253
9/6/2017 1:00:00 AM,16.2049,3.1451,-0.0008456
9/6/2017,16.2133,3.1367,-0.00090885
9/5/2017 11:00:00 PM,16.2224,3.1276,-0.00097144
9/5/2017 10:00:00 PM,16.2321,3.1179,-0.00074788
9/5/2017 9:00:00 PM,16.2396,3.1104,-0.00066306
9/5/2017 8:00:00 PM,16.2462,3.1038,-0.0005478
9/5/2017 7:00:00 PM,16.2517,3.0983,-0.00029228
9/5/2017 6:00:00 PM,16.2546,3.0954,-0.00032358
9/5/2017 5:00:00 PM,16.2579,3.0921,-0.0010127
9/5/2017 4:00:00 PM,16.268,3.082,-0.0011482
9/5/2017 3:00:00 PM,16.2795,3.0705,-0.001273
9/5/2017 2:00:00 PM,16.2922,3.0578,-0.0013784
9/5/2017 1:00:00 PM,16.306,3.044,-0.0010635
9/5/2017 12:00:00 PM,16.3166,3.0334,-0.00071991
9/5/2017 11:00:00 AM,16.3238,3.0262,-0.00062472
9/5/2017 10:00:00 AM,16.3301,3.0199,-0.00021307
9/5/2017 9:00:00 AM,16.3322,3.0178,-0.00040205
9/5/2017 8:00:00 AM,16.3362,3.0138,-0.00093395
9/5/2017 7:00:00 AM,16.3456,3.0044,-0.00097266
9/5/2017 6:00:00 AM,16.3553,2.9947,-0.0010784
9/5/2017 5:00:00 AM,16.3661,2.9839,-0.0010467
9/5/2017 4:00:00 AM,16.3766,2.9734,-0.00096497
9/5/2017 3:00:00 AM,16.3862,2.9638,-0.001006
9/5/2017 2:00:00 AM,16.3963,2.9537,-0.00092964
9/5/2017 1:00:00 AM,16.4056,2.9444,-0.00084764
9/5/2017,16.414,2.936,-0.00088724
9/4/2017 11:00:00 PM,16.4229,2.9271,-0.00095544
9/4/2017 10:00:00 PM,16.4325,2.9175,-0.00086685
9/4/2017 9:00:00 PM,16.4411,2.9089,-0.00078696
9/4/2017 8:00:00 PM,16.449,2.901,-0.00055424
9/4/2017 7:00:00 PM,16.4545,2.8955,-0.00033938
9/4/2017 6:00:00 PM,16.4579,2.8921,-0.00077738
9/4/2017 5:00:00 PM,16.4657,2.8843,-0.0009767
9/4/2017 4:00:00 PM,16.4755,2.8745,-0.0011262
9/4/2017 3:00:00 PM,16.4867,2.8633,-0.0013782
9/4/2017 2:00:00 PM,16.5005,2.8495,-0.0010986
9/4/2017 1:00:00 PM,16.5115,2.8385,-0.0010744
9/4/2017 12:00:00 PM,16.5223,2.8277,-0.00087118
9/4/2017 11:00:00 AM,16.531,2.819,-0.00062878
9/4/2017 10:00:00 AM,16.5373,2.8127,-0.00049969
9/4/2017 9:00:00 AM,16.5423,2.8077,-0.00053327
9/4/2017 8:00:00 AM,16.5476,2.8024,-0.00091948
9/4/2017 7:00:00 AM,16.5568,2.7932,-0.0010607
9/4/2017 6:00:00 AM,16.5674,2.7826,-0.00087448
9/4/2017 5:00:00 AM,16.5761,2.7739,-0.0010589
9/4/2017 4:00:00 AM,16.5867,2.7633,-0.00098821
9/4/2017 3:00:00 AM,16.5966,2.7534,-0.00095297
9/4/2017 2:00:00 AM,16.6061,2.7439,-0.00091607
9/4/2017 1:00:00 AM,16.6153,2.7347,-0.0009023
9/4/2017,16.6243,2.7257,-0.0007963
9/3/2017 11:00:00 PM,16.6323,2.7177,-0.00086048
9/3/2017 10:00:00 PM,16.6409,2.7091,-0.000749
9/3/2017 9:00:00 PM,16.6484,2.7016,-0.00073441
9/3/2017 8:00:00 PM,16.6557,2.6943,-0.00041861
9/3/2017 7:00:00 PM,16.6599,2.6901,-0.00034626
9/3/2017 6:00:00 PM,16.6634,2.6866,-0.00064001
9/3/2017 5:00:00 PM,16.6698,2.6802,-0.00087554
9/3/2017 4:00:00 PM,16.6785,2.6715,-0.00095467
9/3/2017 3:00:00 PM,16.6881,2.6619,-0.00087612
9/3/2017 2:00:00 PM,16.6968,2.6532,-0.00076854
9/3/2017 1:00:00 PM,16.7045,2.6455,-0.00059702
9/3/2017 12:00:00 PM,16.7105,2.6395,-0.00053719
9/3/2017 11:00:00 AM,16.7159,2.6341,-0.00051929
9/3/2017 10:00:00 AM,16.7211,2.6289,-0.0005239
9/3/2017 9:00:00 AM,16.7263,2.6237,-0.00050788
9/3/2017 8:00:00 AM,16.7314,2.6186,-0.00081128
9/3/2017 7:00:00 AM,16.7395,2.6105,-0.00088794
9/3/2017 6:00:00 AM,16.7484,2.6016,-0.00095997
9/3/2017 5:00:00 AM,16.758,2.592,-0.00089072
9/3/2017 4:00:00 AM,16.7669,2.5831,-0.00089291
9/3/2017 3:00:00 AM,16.7758,2.5742,-0.00083978
9/3/2017 2:00:00 AM,16.7842,2.5658,-0.00074437
9/3/2017 1:00:00 AM,16.7916,2.5584,-0.00081727
9/3/2017,16.7998,2.5502,-0.00072451
9/2/2017 11:00:00 PM,16.8071,2.5429,-0.00062097
9/2/2017 10:00:00 PM,16.8133,2.5367,-0.00071839
9/2/2017 9:00:00 PM,16.8205,2.5295,-0.00045042
9/2/2017 8:00:00 PM,16.825,2.525,-0.00021095
9/2/2017 7:00:00 PM,16.8271,2.5229,-0.00025228
9/2/2017 6:00:00 PM,16.8296,2.5204,-0.00056878
9/2/2017 5:00:00 PM,16.8353,2.5147,-0.00063847
9/2/2017 4:00:00 PM,16.8417,2.5083,-0.0006288
9/2/2017 3:00:00 PM,16.8479,2.5021,-0.00066425
9/2/2017 2:00:00 PM,16.8546,2.4954,-0.00085157
9/2/2017 1:00:00 PM,16.8631,2.4869,-0.00048869
9/2/2017 12:00:00 PM,16.868,2.482,-0.00050288
9/2/2017 11:00:00 AM,16.873,2.477,-0.00033565
9/2/2017 10:00:00 AM,16.8764,2.4736,-0.00035297
9/2/2017 9:00:00 AM,16.8799,2.4701,-0.00051133
9/2/2017 8:00:00 AM,16.885,2.465,-0.00083039
9/2/2017 7:00:00 AM,16.8933,2.4567,-0.00085163
9/2/2017 6:00:00 AM,16.9018,2.4482,-0.00083521
9/2/2017 5:00:00 AM,16.9102,2.4398,-0.00089417
9/2/2017 4:00:00 AM,16.9191,2.4309,-0.00079647
9/2/2017 3:00:00 AM,16.9271,2.4229,-0.00078248
9/2/2017 2:00:00 AM,16.9349,2.4151,-0.00071494
9/2/2017 1:00:00 AM,16.9421,2.4079,-0.0007844
9/2/2017,16.9499,2.4001,-0.00070997
9/1/2017 11:00:00 PM,16.957,2.393,-0.0005541
9/1/2017 10:00:00 PM,16.9626,2.3874,-0.00051292
9/1/2017 9:00:00 PM,16.9677,2.3823,-0.000355
9/1/2017 8:00:00 PM,16.9712,2.3788,-0.00019265
9/1/2017 7:00:00 PM,16.9732,2.3768,-0.00014311
9/1/2017 6:00:00 PM,16.9746,2.3754,-0.00043931
9/1/2017 5:00:00 PM,16.979,2.371,-0.00055303
9/1/2017 4:00:00 PM,16.9845,2.3655,-0.00064378
9/1/2017 3:00:00 PM,16.991,2.359,-0.00063507
9/1/2017 2:00:00 PM,16.9973,2.3527,-0.00052952
9/1/2017 1:00:00 PM,17.0026,2.3474,-0.00027963
9/1/2017 12:00:00 PM,17.0054,2.3446,-0.00024236
9/1/2017 11:00:00 AM,17.0078,2.3422,-0.00015644
9/1/2017 10:00:00 AM,17.0094,2.3406,-4.8873e-05
9/1/2017 9:00:00 AM,17.0099,2.3401,-0.00026207
9/1/2017 8:00:00 AM,17.0125,2.3375,-0.00063961
9/1/2017 7:00:00 AM,17.0189,2.3311,-0.00068691
9/1/2017 6:00:00 AM,17.0258,2.3242,-0.00068156
9/1/2017 5:00:00 AM,17.0326,2.3174,-0.0010987
9/1/2017 4:00:00 AM,17.0436,2.3064,-0.00065929
9/1/2017 3:00:00 AM,17.0502,2.2998,-0.0004288
9/1/2017 2:00:00 AM,17.0544,2.2956,-0.00056825
9/1/2017 1:00:00 AM,17.0601,2.2899,-0.00034444
9/1/2017,17.0636,2.2864,-0.00035568
8/31/2017 11:00:00 PM,17.0671,2.2829,-0.00029843
8/31/2017 10:00:00 PM,17.0701,2.2799,-0.00019591
8/31/2017 9:00:00 PM,17.0721,2.2779,-0.00020746
8/31/2017 8:00:00 PM,17.0741,2.2759,0.00020028
8/31/2017 7:00:00 PM,17.0721,2.2779,7.9864e-06
8/31/2017 6:00:00 PM,17.0721,2.2779,0.00015167
8/31/2017 5:00:00 PM,17.0705,2.2795,-0.00033131
8/31/2017 4:00:00 PM,17.0739,2.2761,-0.00033038
8/31/2017 3:00:00 PM,17.0772,2.2728,-0.00039276
8/31/2017 2:00:00 PM,17.0811,2.2689,-0.00021623
8/31/2017 1:00:00 PM,17.0833,2.2667,-0.00024606
8/31/2017 12:00:00 PM,17.0857,2.2643,0.00026505
8/31/2017 11:00:00 AM,17.0831,2.2669,0.00079951
8/31/2017 10:00:00 AM,17.0751,2.2749,0.00049573
8/31/2017 9:00:00 AM,17.0701,2.2799,0.00031771
8/31/2017 8:00:00 AM,17.0669,2.2831,0.00026504
8/31/2017 7:00:00 AM,17.0643,2.2857,0.0004086
8/31/2017 6:00:00 AM,17.0602,2.2898,9.8492e-05
8/31/2017 5:00:00 AM,17.0592,2.2908,0.00013193
8/31/2017 4:00:00 AM,17.0579,2.2921,0.00017683
8/31/2017 3:00:00 AM,17.0561,2.2939,0.00018283
8/31/2017 2:00:00 AM,17.0543,2.2957,0.0002892
8/31/2017 1:00:00 AM,17.0514,2.2986,0.00014461
8/31/2017,17.05,2.3,0.00020934
8/30/2017 11:00:00 PM,17.0479,2.3021,9.5074e-05
8/30/2017 10:00:00 PM,17.0469,2.3031,7.0505e-05
8/30/2017 9:00:00 PM,17.0462,2.3038,0.00037623
8/30/2017 8:00:00 PM,17.0424,2.3076,0.00045977
8/30/2017 7:00:00 PM,17.0379,2.3121,0.00050775
8/30/2017 6:00:00 PM,17.0328,2.3172,0.00029065
8/30/2017 5:00:00 PM,17.0299,2.3201,3.1092e-05
8/30/2017 4:00:00 PM,17.0296,2.3204,0.00015247
8/30/2017 3:00:00 PM,17.028,2.322,0.00055573
8/30/2017 2:00:00 PM,17.0225,2.3275,0.00055832
8/30/2017 1:00:00 PM,17.0169,2.3331,0.0006517
8/30/2017 12:00:00 PM,17.0104,2.3396,0.00087179
8/30/2017 11:00:00 AM,17.0017,2.3483,0.00070929
8/30/2017 10:00:00 AM,16.9946,2.3554,0.00095643
8/30/2017 9:00:00 AM,16.985,2.365,0.0011949
8/30/2017 8:00:00 AM,16.973,2.377,0.0011511
8/30/2017 7:00:00 AM,16.9615,2.3885,0.001484
8/30/2017 6:00:00 AM,16.9467,2.4033,0.001339
8/30/2017 5:00:00 AM,16.9333,2.4167,0.0014754
8/30/2017 4:00:00 AM,16.9186,2.4314,0.0012327
8/30/2017 3:00:00 AM,16.9062,2.4438,0.00089185
8/30/2017 2:00:00 AM,16.8973,2.4527,0.00014724
8/30/2017 1:00:00 AM,16.8958,2.4542,-0.0010354
8/30/2017,16.9062,2.4438,0.057854
8/29/2017 11:00:00 PM,16.3277,3.0223,-0.00088261
8/29/2017 10:00:00 PM,16.3365,3.0135,-0.0010009
8/29/2017 9:00:00 PM,16.3465,3.0035,-0.0010609
8/29/2017 8:00:00 PM,16.3571,2.9929,-0.00075483
8/29/2017 7:00:00 PM,16.3646,2.9854,-0.00066356
8/29/2017 6:00:00 PM,16.3713,2.9787,-0.00060164
8/29/2017 5:00:00 PM,16.3773,2.9727,-0.0012934
8/29/2017 4:00:00 PM,16.3902,2.9598,-0.0019596
8/29/2017 3:00:00 PM,16.4098,2.9402,-0.0018388
8/29/2017 2:00:00 PM,16.4282,2.9218,-0.0020895
8/29/2017 1:00:00 PM,16.4491,2.9009,-0.0019178
8/29/2017 12:00:00 PM,16.4683,2.8817,-0.0011611
8/29/2017 11:00:00 AM,16.4799,2.8701,-0.0008432
8/29/2017 10:00:00 AM,16.4883,2.8617,-0.00049313
8/29/2017 9:00:00 AM,16.4933,2.8567,-0.00050236
8/29/2017 8:00:00 AM,16.4983,2.8517,-0.00089612
8/29/2017 7:00:00 AM,16.5073,2.8427,-0.00096924
8/29/2017 6:00:00 AM,16.5169,2.8331,-0.0011136
8/29/2017 5:00:00 AM,16.5281,2.8219,-0.0010729
8/29/2017 4:00:00 AM,16.5388,2.8112,-0.0010436
8/29/2017 3:00:00 AM,16.5492,2.8008,-0.00095559
8/29/2017 2:00:00 AM,16.5588,2.7912,-0.00099276
8/29/2017 1:00:00 AM,16.5687,2.7813,-0.00099128
8/29/2017,16.5786,2.7714,-0.0010162
8/28/2017 11:00:00 PM,16.5888,2.7612,-0.00098767
