TimeStamp,Current Aviable Water (cm),Deficit (cm),Change in Storage (cm)
9/10/2017 11:00:00 PM,13.8349,1.8051,-0.00027721
9/10/2017 10:00:00 PM,13.8377,1.8023,-0.00027793
9/10/2017 9:00:00 PM,13.8405,1.7995,-9.9753e-05
9/10/2017 8:00:00 PM,13.8415,1.7985,0.00018948
9/10/2017 7:00:00 PM,13.8396,1.8004,0.00054793
9/10/2017 6:00:00 PM,13.8341,1.8059,0.00061544
9/10/2017 5:00:00 PM,13.828,1.812,0.00020955
9/10/2017 4:00:00 PM,13.8259,1.8141,0.00023626
9/10/2017 3:00:00 PM,13.8235,1.8165,0.00063128
9/10/2017 2:00:00 PM,13.8172,1.8228,0.0016942
9/10/2017 1:00:00 PM,13.8002,1.8398,0.0038617
9/10/2017 12:00:00 PM,13.7616,1.8784,0.059169
9/10/2017 11:00:00 AM,13.1699,2.4701,-2.5928e-06
9/10/2017 10:00:00 AM,13.17,2.47,3.2363e-05
9/10/2017 9:00:00 AM,13.1696,2.4704,-0.0002505
9/10/2017 8:00:00 AM,13.1721,2.4679,-0.00079557
9/10/2017 7:00:00 AM,13.1801,2.4599,-0.00052874
9/10/2017 6:00:00 AM,13.1854,2.4546,-0.00049618
9/10/2017 5:00:00 AM,13.1904,2.4496,-0.00055797
9/10/2017 4:00:00 AM,13.1959,2.4441,-0.00073113
9/10/2017 3:00:00 AM,13.2032,2.4368,-0.00055868
9/10/2017 2:00:00 AM,13.2088,2.4312,-0.00049715
9/10/2017 1:00:00 AM,13.2138,2.4262,-0.00015201
9/10/2017,13.2153,2.4247,-0.00047099
9/9/2017 11:00:00 PM,13.22,2.42,-0.00026213
9/9/2017 10:00:00 PM,13.2227,2.4173,-0.00032683
9/9/2017 9:00:00 PM,13.2259,2.4141,-0.00049918
9/9/2017 8:00:00 PM,13.2309,2.4091,-0.00051311
9/9/2017 7:00:00 PM,13.236,2.404,-0.00033702
9/9/2017 6:00:00 PM,13.2394,2.4006,-0.00064479
9/9/2017 5:00:00 PM,13.2459,2.3941,-0.00080095
9/9/2017 4:00:00 PM,13.2539,2.3861,-0.0010214
9/9/2017 3:00:00 PM,13.2641,2.3759,-0.0012885
9/9/2017 2:00:00 PM,13.277,2.363,-0.00086387
9/9/2017 1:00:00 PM,13.2856,2.3544,-0.00085099
9/9/2017 12:00:00 PM,13.2941,2.3459,0.00021214
9/9/2017 11:00:00 AM,13.292,2.348,-0.00018995
9/9/2017 10:00:00 AM,13.2939,2.3461,6.2787e-05
9/9/2017 9:00:00 AM,13.2933,2.3467,-0.00016967
9/9/2017 8:00:00 AM,13.295,2.345,-0.00057643
9/9/2017 7:00:00 AM,13.3007,2.3393,-0.00076685
9/9/2017 6:00:00 AM,13.3084,2.3316,-0.00059775
9/9/2017 5:00:00 AM,13.3144,2.3256,-0.00066789
9/9/2017 4:00:00 AM,13.3211,2.3189,-0.0005729
9/9/2017 3:00:00 AM,13.3268,2.3132,-0.00041455
9/9/2017 2:00:00 AM,13.3309,2.3091,-0.00047922
9/9/2017 1:00:00 AM,13.3357,2.3043,-0.0003079
9/9/2017,13.3388,2.3012,-0.00045605
9/8/2017 11:00:00 PM,13.3434,2.2966,-0.00031268
9/8/2017 10:00:00 PM,13.3465,2.2935,-0.00063784
9/8/2017 9:00:00 PM,13.3529,2.2871,-0.00051108
9/8/2017 8:00:00 PM,13.358,2.282,-0.00067079
9/8/2017 7:00:00 PM,13.3647,2.2753,-0.0003236
9/8/2017 6:00:00 PM,13.3679,2.2721,-0.0012102
9/8/2017 5:00:00 PM,13.38,2.26,-0.0011991
9/8/2017 4:00:00 PM,13.392,2.248,-0.0013945
9/8/2017 3:00:00 PM,13.406,2.234,-0.0012471
9/8/2017 2:00:00 PM,13.4184,2.2216,-0.001136
9/8/2017 1:00:00 PM,13.4298,2.2102,-0.00075013
