TimeStamp,Current Aviable Water (cm),Deficit (cm),Change in Storage (cm)
6/3/2018 7:00:00 AM,8.6346,10.7154,-0.00067808
6/3/2018 6:00:00 AM,8.6414,10.7086,-0.00086807
6/3/2018 5:00:00 AM,8.65,10.7,-0.00082149
6/3/2018 4:00:00 AM,8.6583,10.6917,-0.00067185
6/3/2018 3:00:00 AM,8.665,10.685,-0.0005683
6/3/2018 2:00:00 AM,8.6707,10.6793,-0.0004319
6/3/2018 1:00:00 AM,8.675,10.675,-0.0004501
6/3/2018,8.6795,10.6705,-0.00039902
6/2/2018 11:00:00 PM,8.6835,10.6665,-0.00032834
6/2/2018 10:00:00 PM,8.6868,10.6632,-8.4858e-05
6/2/2018 9:00:00 PM,8.6876,10.6624,0.0002713
6/2/2018 8:00:00 PM,8.6849,10.6651,-0.00071052
6/2/2018 7:00:00 PM,8.692,10.658,-0.0016321
6/2/2018 6:00:00 PM,8.7083,10.6417,-0.002443
6/2/2018 5:00:00 PM,8.7327,10.6173,-0.0038345
6/2/2018 4:00:00 PM,8.7711,10.5789,-0.0051804
6/2/2018 3:00:00 PM,8.8229,10.5271,-0.0057921
6/2/2018 2:00:00 PM,8.8808,10.4692,-0.0059942
6/2/2018 1:00:00 PM,8.9408,10.4092,-0.0054209
6/2/2018 12:00:00 PM,8.995,10.355,-0.0048783
6/2/2018 11:00:00 AM,9.0437,10.3063,-0.0039852
6/2/2018 10:00:00 AM,9.0836,10.2664,-0.0027387
6/2/2018 9:00:00 AM,9.111,10.239,-0.0011083
6/2/2018 8:00:00 AM,9.1221,10.2279,-0.00054451
6/2/2018 7:00:00 AM,9.1275,10.2225,-0.00088652
6/2/2018 6:00:00 AM,9.1364,10.2136,-0.0010312
6/2/2018 5:00:00 AM,9.1467,10.2033,-0.0010745
6/2/2018 4:00:00 AM,9.1574,10.1926,-0.00090582
6/2/2018 3:00:00 AM,9.1665,10.1835,-0.00086459
6/2/2018 2:00:00 AM,9.1751,10.1749,-0.00082997
6/2/2018 1:00:00 AM,9.1834,10.1666,-0.00073618
6/2/2018,9.1908,10.1592,-0.00069199
6/1/2018 11:00:00 PM,9.1977,10.1523,-0.00053798
6/1/2018 10:00:00 PM,9.2031,10.1469,-0.00054861
6/1/2018 9:00:00 PM,9.2086,10.1414,-0.00033698
6/1/2018 8:00:00 PM,9.212,10.138,-0.00093695
6/1/2018 7:00:00 PM,9.2213,10.1287,-0.00069177
6/1/2018 6:00:00 PM,9.2282,10.1218,-0.0023708
6/1/2018 5:00:00 PM,9.252,10.098,-0.0036643
6/1/2018 4:00:00 PM,9.2886,10.0614,-0.0049846
6/1/2018 3:00:00 PM,9.3384,10.0116,-0.005628
6/1/2018 2:00:00 PM,9.3947,9.9553,-0.0051037
6/1/2018 1:00:00 PM,9.4458,9.9042,-0.0050233
6/1/2018 12:00:00 PM,9.496,9.854,-0.0031687
6/1/2018 11:00:00 AM,9.5277,9.8223,-0.0023224
6/1/2018 10:00:00 AM,9.5509,9.7991,-0.00051403
6/1/2018 9:00:00 AM,9.556,9.794,-0.00031151
6/1/2018 8:00:00 AM,9.5592,9.7908,-0.00029348
6/1/2018 7:00:00 AM,9.5621,9.7879,-0.00049367
6/1/2018 6:00:00 AM,9.567,9.783,-0.00020565
6/1/2018 5:00:00 AM,9.5691,9.7809,0.00017628
6/1/2018 4:00:00 AM,9.5673,9.7827,-0.00020171
6/1/2018 3:00:00 AM,9.5693,9.7807,-0.00037116
6/1/2018 2:00:00 AM,9.5731,9.7769,-0.00062242
6/1/2018 1:00:00 AM,9.5793,9.7707,-0.00053045
6/1/2018,9.5846,9.7654,-0.00055856
5/31/2018 11:00:00 PM,9.5902,9.7598,-0.000628
5/31/2018 10:00:00 PM,9.5964,9.7536,-0.00063136
5/31/2018 9:00:00 PM,9.6028,9.7472,-0.00054166
