TimeStamp,Current Aviable Water (cm),Deficit (cm),Change in Storage (cm)
9/16/2018 4:00:00 AM,23.3669,-2.5669,-0.00086192
9/16/2018 3:00:00 AM,23.376,-2.576,-0.00062764
9/16/2018 2:00:00 AM,23.3823,-2.5823,-0.00080399
9/16/2018 1:00:00 AM,23.3903,-2.5903,-0.00076619
9/16/2018,23.3984,-2.5984,-0.00049817
9/15/2018 11:00:00 PM,23.4034,-2.6034,-0.0010163
9/15/2018 10:00:00 PM,23.4135,-2.6135,-0.00072275
9/15/2018 9:00:00 PM,23.4212,-2.6212,-0.00094752
9/15/2018 8:00:00 PM,23.4307,-2.6307,-0.00038965
9/15/2018 7:00:00 PM,23.4346,-2.6346,-0.00085135
9/15/2018 6:00:00 PM,23.4431,-2.6431,-0.0013989
9/15/2018 5:00:00 PM,23.4571,-2.6571,-0.0019257
9/15/2018 4:00:00 PM,23.4763,-2.6763,-0.0020386
9/15/2018 3:00:00 PM,23.4963,-2.6963,-0.0016148
9/15/2018 2:00:00 PM,23.5124,-2.7124,-0.0011699
9/15/2018 1:00:00 PM,23.5241,-2.7241,-0.0010555
9/15/2018 12:00:00 PM,23.5354,-2.7354,5.9299e-05
9/15/2018 11:00:00 AM,23.5352,-2.7352,1.8669e-05
9/15/2018 10:00:00 AM,23.5359,-2.7359,0.0002322
9/15/2018 9:00:00 AM,23.5335,-2.7335,-0.00016977
9/15/2018 8:00:00 AM,23.5357,-2.7357,-0.00071042
9/15/2018 7:00:00 AM,23.5428,-2.7428,-0.00095051
9/15/2018 6:00:00 AM,23.5523,-2.7523,-0.00095186
9/15/2018 5:00:00 AM,23.5618,-2.7618,-0.0010713
9/15/2018 4:00:00 AM,23.573,-2.773,-0.001072
9/15/2018 3:00:00 AM,23.5837,-2.7837,-0.0011133
9/15/2018 2:00:00 AM,23.5948,-2.7948,-0.0010195
9/15/2018 1:00:00 AM,23.6054,-2.8054,-0.0011465
9/15/2018,23.6173,-2.8173,-0.0010495
9/14/2018 11:00:00 PM,23.6278,-2.8278,-0.0010919
9/14/2018 10:00:00 PM,23.6391,-2.8391,-0.0010359
9/14/2018 9:00:00 PM,23.6495,-2.8495,-0.0011789
9/14/2018 8:00:00 PM,23.6617,-2.8617,-0.00079448
9/14/2018 7:00:00 PM,23.6697,-2.8697,-0.00045081
9/14/2018 6:00:00 PM,23.6746,-2.8746,-0.0012404
9/14/2018 5:00:00 PM,23.6874,-2.8874,-0.0014924
9/14/2018 4:00:00 PM,23.7023,-2.9023,-0.00089687
9/14/2018 3:00:00 PM,23.7109,-2.9109,-0.00095364
9/14/2018 2:00:00 PM,23.7204,-2.9204,-0.00058248
9/14/2018 1:00:00 PM,23.7266,-2.9266,-0.0001642
9/14/2018 12:00:00 PM,23.7291,-2.9291,8.1187e-05
9/14/2018 11:00:00 AM,23.7299,-2.9299,-0.00010039
9/14/2018 10:00:00 AM,23.7313,-2.9313,-0.00035565
9/14/2018 9:00:00 AM,23.7348,-2.9348,-0.00041117
9/14/2018 8:00:00 AM,23.7389,-2.9389,-0.0011406
9/14/2018 7:00:00 AM,23.7503,-2.9503,-0.0012578
9/14/2018 6:00:00 AM,23.7629,-2.9629,-0.0012553
9/14/2018 5:00:00 AM,23.7751,-2.9751,-0.0013387
9/14/2018 4:00:00 AM,23.7885,-2.9885,-0.0012018
9/14/2018 3:00:00 AM,23.8009,-3.0009,-0.0012
9/14/2018 2:00:00 AM,23.8125,-3.0125,-0.0013326
9/14/2018 1:00:00 AM,23.8263,-3.0263,-0.0014784
9/14/2018,23.8407,-3.0407,-0.0014413
9/13/2018 11:00:00 PM,23.8559,-3.0559,-0.0015563
9/13/2018 10:00:00 PM,23.8711,-3.0711,-0.0014986
9/13/2018 9:00:00 PM,23.886,-3.086,-0.0011123
9/13/2018 8:00:00 PM,23.8968,-3.0968,-0.00080214
9/13/2018 7:00:00 PM,23.9048,-3.1048,-0.00026709
9/13/2018 6:00:00 PM,23.9074,-3.1074,-0.0013731
